Container height (mm) Range Start,Container height (mm) Range End,Container height (ft) Range Start,Container height (ft) Range End,Container height (in),Code character,Container width (mm) Range Start,Container width (mm) Range End
2438,2438,8,8,,0,2438,2438
2591,2591,8,8,6,2,2438,2438
2591,2591,8,8,6,C,2438,2500
2591,2591,8,8,6,L,2500,
2743,2743,9,9,,4,2438,2438
2743,2743,9,9,,D,2438,2500
2743,2743,9,9,,M,2500,
2895,2895,9,9,6,5,2438,2438
2895,2895,9,9,6,E,2438,2500
2895,2895,9,9,6,N,2500,
2895,,9,,6,6,2438,2438
2895,,9,,6,F,2438,2500
2895,,9,,6,P,2500,
1295,1295,4,4,3,8,2438,2438
,1219,,4,,9,2438,2438